Date,Car,Year,Price,Mileage,Location,URL
04/04/21,INFINITI Q60 RED SPORT 400,2020,N/A,"32,353 mi.","Henderson, KY(295 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL2LM460056/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2019,"$39,980","19,519 mi.","Morristown, TN(478 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL6KM440858/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2019,"$43,992","4,800 mi.","Harrison, AR(489 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL9KM441051/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2019,"$44,998","12,271 mi.","Jackson, MI(184 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL9KM441034/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2019,"$46,607","8,686 mi.","Fort Wright, KY(277 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7ELXKM441026/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$30,423","51,110 mi.","Bedford, OH(336 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL3HM701825/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2017,"$38,990","26,999 mi.","Dayton, OH(255 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL2HM701721/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2020,"$49,500","6,614 mi.","Louisville, KY(292 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL4LM460446/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,991","18,825 mi.","Bartlett, TN(495 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EKXJM530925/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2020,"$46,500","34,571 mi.","Union City, GA(618 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK0LM400056/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$35,500","56,889 mi.","Westminster, CA(1724 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK2JM530496/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$37,988","33,892 mi.","Duluth, GA(596 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK5JM530539/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$41,650","28,098 mi.","Valencia, CA(1731 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK0JM530478/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$35,999","28,014 mi.","Richardson, TX(790 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EKXJM530794/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,998","33,342 mi.","Willow Grove, PA(683 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL3JM630938/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,900","35,614 mi.","Lynnwood, WA(1708 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EL9JM631110/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$33,991","21,606 mi.","San Antonio, TX(1052 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK6JM530100/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,994","38,738 mi.","Houston, TX(946 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK1JM530411/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$39,990","28,737 mi.","Blue Mound, TX(823 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK6JM530243/?referrer_id=autotempest
04/04/21,INFINITI Q60 RED SPORT 400,2018,"$34,991","38,091 mi.","Tamarac, FL(1189 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JN1FV7EK4JM530063/?referrer_id=autotempest
